system:index,key,.geo
Accipiter_gentilis1,3.5768244697980064E10,
Accipiter_gentilis3,2.5770625156750003E8,
Accipiter_nisus1,6.1756231408625E8,
Accipiter_nisus2,2.4316381435512558E10,
Accipiter_nisus3,3.8186661512250006E8,
Bucephala_clangula2,3.184812268765755E10,
Bucephala_clangula3,4.5895187691225E9,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.6065093598474996E9,
Coccyzus_americanus3,8.160682346345002E9,
Contopus_cooperi2,1.06256244460925E10,
Contopus_cooperi3,4.248156510872499E9,
Cuculus_canorus2,2.5550091656202538E10,
Cuculus_canorus3,7.052399216650001E8,
Onychorhynchus_coronatus1,3.5371613018950005E9,
Tringa_ochropus2,2.3771490967733803E10,
Tringa_ochropus3,2.510344912465E9,
Tringa_solitaria2,6.821516250018748E9,
Tringa_solitaria3,8.275738877812501E9,
Vireo_olivaceus1,5.883198918297499E9,
Vireo_olivaceus2,8.930781864859997E9,
