system:index,name,treecover2000,.geo
Accipiter_gentilis1,Accipiter_gentilis1,1.151629920885484E13,
Accipiter_gentilis3,Accipiter_gentilis3,7.496014873399122E11,
Accipiter_nisus1,Accipiter_nisus1,2.2061680637031045E12,
Accipiter_nisus2,Accipiter_nisus2,5.355567678489177E12,
Accipiter_nisus3,Accipiter_nisus3,1.7596397275000396E12,
Bucephala_clangula2,Bucephala_clangula2,8.447046892209205E12,
Bucephala_clangula3,Bucephala_clangula3,3.810561998913133E12,
Coccyzus_americanus1,Coccyzus_americanus1,0.0,
Coccyzus_americanus2,Coccyzus_americanus2,1.6647020338788975E12,
Coccyzus_americanus3,Coccyzus_americanus3,8.017454769621824E12,
Contopus_cooperi2,Contopus_cooperi2,3.9417669108464785E12,
Contopus_cooperi3,Contopus_cooperi3,6.6315313003277705E12,
Cuculus_canorus2,Cuculus_canorus2,9.083450503497137E12,
Cuculus_canorus3,Cuculus_canorus3,4.815821807895123E12,
Onychorhynchus_coronatus1,Onychorhynchus_coronatus1,5.350303781536956E12,
Tringa_ochropus2,Tringa_ochropus2,5.518273813049005E12,
Tringa_ochropus3,Tringa_ochropus3,6.942945203649045E12,
Tringa_solitaria2,Tringa_solitaria2,2.537439519875942E12,
Tringa_solitaria3,Tringa_solitaria3,8.922742015067234E12,
Vireo_olivaceus1,Vireo_olivaceus1,6.941778659571591E12,
Vireo_olivaceus2,Vireo_olivaceus2,4.750994260042621E12,
