species,treecover_2000,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018
Accipiter_gentilis1,11679769200746.807,10096055148.253744,22171508186.51124,20771275493.26248,27157754107.797512,20084970733.69749,20695195793.146244,19481326365.57376,21302035143.836243,13088810056.458748,17016364185.388756,22358113461.95501,34355432881.480045,40009743256.157486,29366296061.65498,27333432333.498756,34891139661.25993,41344566283.243744,35768244697.980064
Accipiter_gentilis3,763599427665.1586,110359093.1375,214104524.3175,111172948.8475,178384506.90499997,155265623.98875,217669453.16500005,254949305.6875,257039243.5425,131590600.8275,114556109.81,113352453.33249998,194076553.925,249050952.6625,290634393.65375,254072434.64624995,699977339.5275,705088785.21,257706251.56750005
Accipiter_nisus1,2244642027831.48,86450547.56125,73574228.03,195375081.93625,194862398.09875,275887509.35,165526524.92499998,317874104.8525,186879356.3175,241587950.77625,711908027.9250003,3148353570.417505,338448640.09250015,179340558.85375002,254634078.92625,158415086.2775,670143790.3199997,1785742202.3375008,617562314.08625
Accipiter_nisus2,5430579771865.53,5054376864.107496,9348659302.953743,12057756306.793741,12077582356.805004,2736308379.7625,6896003049.308755,8388541492.2162485,11264219014.457493,6242459386.143747,3748345721.6625023,9313129867.9525,22397093507.132545,24080309379.532486,19540915789.546227,7512892195.479996,23406484262.689938,25787963787.336246,24316381435.512558
Accipiter_nisus3,1796838422142.9067,15115266.405,53171445.09250001,63653890.19749999,123072386.7025,144896219.66000003,246131871.5725,383318633.9375,335863809.92,393750636.6925,276436493.025,235881219.42750004,377422740.8875,332491174.84750015,524557210.835,494589100.7275001,890341363.1450002,669187255.8350003,381866615.12250006
Bucephala_clangula2,8563386793778.659,8671420045.792496,19769383225.031242,18824575197.783737,24799918757.33001,18863387468.581245,18776196805.46625,15796499471.552504,18148623055.784985,11544233444.908749,15446494142.53625,19262380703.716244,32207596131.5988,38603202283.05123,28050002164.444984,25489499927.17,31975758671.36618,36287263890.908745,31848122687.65755
Bucephala_clangula3,3870249126739.1714,3251878241.235,3857041505.679997,3152724817.6512504,4026986450.45375,2839801010.86,3783377748.058749,5604615183.16625,5201830807.14125,2826698875.365001,2766453884.2675,3067121774.243751,3964259962.4562507,2942708325.2900014,3204750220.7674994,3410216925.988749,4660904372.6675,6150734528.638749,4589518769.1225
Coccyzus_americanus1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coccyzus_americanus2,1687055660928.7368,2180809655.9975004,1725805704.262499,1514243294.7675006,1891955224.9675007,2049862113.3025,2393143127.9125,2447507805.2775,2256609120.2,1612284419.56,2069787299.1799989,2210014116.0625,2319842716.2625,1799345730.7750013,1800179803.2000003,1948144147.6875005,2480800610.740001,2733711772.9225,1606509359.8474994
Coccyzus_americanus3,8083096071431.191,7064852886.810009,12285516711.484993,12937764695.529995,17022211229.199984,14050092295.187498,9861729573.515,9774203548.244995,10355068924.375008,6130699456.1749935,11373087248.102512,8729336408.707512,12307739696.800005,6337582790.107496,7832031578.380003,6865623963.490001,24249519462.809963,15064704896.822496,8160682346.345001
Contopus_cooperi2,3990247091664.437,4439011516.36875,12607576742.153746,8345595602.686244,13827303555.14499,15754891694.432503,13380784643.678743,10079689317.920004,8948238216.2525,6188278996.548748,11870994075.075005,9336714187.781246,10823025559.657505,14533311797.874996,8343574631.076258,19640076711.00876,10753719088.6,12700724824.755009,10625624446.0925
Contopus_cooperi3,6670481083793.817,4801220174.605003,8122727187.119994,8058263401.090001,11301967667.249971,9402654525.814993,6191551177.047494,4707501323.964999,4688815511.690004,2330348654.7850013,5251071663.0125,3231988806.900004,5716150454.445001,2093132325.0125003,3675889349.89,3262129827.470001,12729880481.91248,8663164192.017494,4248156510.872499
Cuculus_canorus2,9222662725388.734,5163120645.191247,9658349462.3175,12358198150.553738,12569755906.566256,3105215543.6612487,7253204147.768755,8980149091.59375,11829601326.976244,6772322434.131249,4796058050.494999,12801821225.751251,22945928026.603798,24463017165.07999,20183068851.03748,8034604772.311244,24829625522.07494,28045945655.86125,25550091656.202538
Cuculus_canorus3,4886706259202.695,366814503.1525,415922057.565,387834663.19749993,472539180.8275,592800480.9325001,755686298.3375,392857355.795,480383822.6750002,637777146.0325001,718462444.6075003,641739803.525,1064295712.2425,958945654.955,1201976603.8425,1010983145.7974998,1535638160.3100002,1428069630.9775,705239921.6650001
Onychorhynchus_coronatus1,5376796601444.841,2870087742.4149995,4452862166.289998,3794333236.215,6299602607.082508,6846222671.722498,4558060824.284999,2847297648.217499,3210540192.3975024,1565203434.3125007,3163825770.330002,1882044624.2300014,3794188344.5725,1583791737.7175007,2707548620.635,2595377517.0975,14552643156.089985,4308543081.422501,3537161301.895001
Tringa_ochropus2,5595008778501.696,4644924636.10125,8612206981.784996,11578548158.107492,10776595674.667505,2658719457.8549995,6688857317.721252,8402593569.0825,11132497370.447493,5689516879.9124975,3293175993.6812515,12027355909.945005,22227366066.18505,23786757113.06374,19183702453.64748,7515631969.247496,22532191564.153687,25693427694.65625,23771490967.733803
Tringa_ochropus3,7055377481068.08,1566276407.9350007,1882179800.1625,1069033188.62,2434673167.385,2369928362.065,2670666726.7625003,3095125619.5200005,3161913995.7450013,5882015185.47,4807009561.180002,5770138095.175001,6364978402.779998,4296161353.075001,5611204589.707502,3820926818.9625,4996397901.417498,3819704993.94,2510344912.465
