species,treecover_2000,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018
Accipiter_gentilis1,11642303783175.027,14310550884.923756,27305509683.252804,25453653084.61723,34886283122.35625,26722109719.44717,27573281348.59847,26319757202.172825,28138388588.6925,18564787006.25968,22476484320.637188,28418113760.4319,43064313733.22092,47287945760.58381,35568733913.20253,33278024775.465626,42383014658.6441,49171053595.21815,44778902350.29627
Accipiter_gentilis3,759734052402.3822,252508884.0246876,374981882.58656263,305607884.18499994,474154093.93687487,420643513.908125,615458723.07875,731442193.2603124,651504827.3518747,482539312.0574999,408002076.705,409585347.3,537192590.0712501,748651848.2840626,828787060.7156253,847073149.1096878,1720217214.696875,1540392275.2225008,869917947.8618747
Accipiter_nisus1,2234666472939.797,273355299.889375,334421676.52781254,597906711.13625,690039107.1687497,733920405.7593751,623522805.5237497,961162610.95125,714984205.226875,782685663.3390625,1406644605.5606241,3899278171.804689,1025385897.978125,655457946.0162499,791109487.7109373,661585906.1887501,1482458349.2040622,2570044953.5890627,1503953446.7375007
Accipiter_nisus2,5414260472025.256,6525120496.2521925,11316253833.286554,13946954294.185028,15117297412.115,4785432724.163124,9350401941.61657,10762112748.975008,14230504093.256874,8616459530.875927,5949115014.652193,11617783103.001251,26955146605.475925,27710811345.62629,22054483513.97504,9765231402.486559,26346531466.65347,29302536439.88817,28343418552.454075
Accipiter_nisus3,1787835573112.695,109971570.35875002,165759575.58812502,204911777.69875,373739658.1687501,405869689.2581248,705497686.6456252,1093646565.336875,1002639321.2331252,1032072410.2768756,804655874.03875,746608157.1606247,1110612274.9793744,1242370730.44375,1555611697.1981251,1612059918.8350005,2780334540.3018746,2176775378.704375,1448551798.648125
Bucephala_clangula2,8537786573978.973,11609674897.410006,23538192617.33561,22298611322.049408,30506940775.966263,23820000750.494682,23814641294.29533,20522769627.00375,23044566960.54062,15493817290.9803,19441573566.000618,23825362051.22657,39005208001.42155,44231559743.45724,32763012335.8066,29735221395.548733,37186591349.62595,41874527886.580666,38318507217.057205
Bucephala_clangula3,3855098009127.555,6626113729.917186,6988716923.089686,5771488769.530314,8049219291.159691,6672450223.54781,7747501286.279378,9886144169.57094,9388170405.040316,6049509067.097188,6065886133.346563,6402200288.929689,7909497274.1903105,6631140981.163122,6943546912.786249,7182900531.7631235,9431093033.30343,10857255652.023436,9105465650.32125
Coccyzus_americanus1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coccyzus_americanus2,1681735458222.5532,4747824435.520622,3987128235.025,3367439558.931876,4380050117.083755,4803086058.366873,4905284328.978125,5062001337.505002,4828540978.844375,3686418456.183125,4466747653.5175,4508888441.434997,4930321618.4625,4343161708.5112505,4339539714.443749,4589276693.772501,5531261470.69875,6051717052.255003,4330629745.467504
Coccyzus_americanus3,8067850289949.715,11319399057.901258,18412725061.155037,18672529839.236263,24147941072.01937,21307469341.38249,15525070537.806871,15219023346.640625,15458599477.176237,9982326466.292507,16411148573.478128,13045109229.91562,17228519550.12687,9765132543.827496,12180447842.22187,10754172743.873756,32526049730.289368,22334894420.095654,13347573133.600622
Contopus_cooperi2,3979066575644.009,7002480896.171877,15611097533.137812,10783776945.297806,18016158032.11159,19853857484.33966,17475682522.710644,14047585221.692816,12423463256.010307,8803745290.917498,14524676118.803112,12436260564.341879,14396965542.480312,17754567271.230625,11457308234.835623,22996041664.80843,14690088267.186554,16572978667.197182,14930082492.124382
Contopus_cooperi3,6661402369964.287,7613615312.745633,12285684694.921915,11740738402.742523,16087316768.260004,14502880557.140009,9915369701.462494,8002551915.308748,7971728556.845001,4845022107.660001,8044365114.026255,5519025927.788121,8505731214.688751,3745893409.5043726,6201253903.4937525,5450887253.765,18159520196.958748,13205389091.818758,7687688724.194372
Cuculus_canorus2,9191797825444.195,6905339638.212503,12011498287.292809,14783125626.273771,16390953736.150938,5850422348.857811,10541662452.363443,12557435941.74657,15924116014.716871,10174335242.849678,8094542549.610628,16288834319.488125,28748508817.0178,29133715669.948162,23942197608.116302,11434254358.484686,29705774543.88753,33277468616.50224,31107400323.174713
Cuculus_canorus3,4871901571760.852,856219352.56875,864981668.4812499,830815582.6499999,957915099.208125,1205968620.0712502,1421478121.018125,1124179287.703125,1055872751.713125,1487575906.2793748,1688220297.9450002,1314349017.0525,2113243604.5293746,2299509277.3074994,2716128366.6375003,2503964623.4,3799709181.454375,3471366123.880001,2071967816.104375
Onychorhynchus_coronatus1,5370376430607.43,4926312186.20375,7567566353.596264,6276401619.730628,9866489637.483768,11054336324.521255,7561151910.644996,5397908955.691253,5706422678.840004,3483057590.2275004,5432954134.955625,3618005586.8049994,6015312936.31875,2982424068.6475,4858625785.138749,4491325696.971877,19342981854.675,7874804843.4100065,6499396202.163746
Tringa_ochropus2,5577943272579.921,6110247282.758752,10611657399.507488,13685143629.907528,13936468213.449064,4853058629.21656,9301179650.844694,11041531994.907194,14291805140.795004,8234135865.874998,5725928028.206567,14785446765.961882,27030910226.68311,27598910099.550358,21878518103.07286,10018184141.012812,25761255067.184414,29471679664.094093,28094512462.552204
